ms, dB
0.440000, -7.967553
0.440417, -7.788156
0.440833, -6.985674
0.441250, -12.563874
0.441667, -6.128040
0.442083, -3.635830
0.442500, -6.753737
0.442917, -13.411576
0.443333, -8.960778
0.443750, -6.672327
0.444167, -9.236177
0.444583, -11.059942
0.445000, -6.549781
0.445417, -9.794841
0.445833, -6.714869
0.446250, -6.697409
0.446667, -7.508767
0.447083, -5.729596
0.447500, -5.518260
0.447917, -6.189227
0.448333, -4.350078
0.448750, -5.895931
0.449167, -7.080231
0.449583, -8.950473
0.450000, -4.211804
0.450417, -9.068548
0.450833, -12.318363
0.451250, -11.608211
0.451667, -5.842572
0.452083, -6.777461
0.452500, -12.340609
0.452917, -5.530020
0.453333, -5.617428
0.453750, -12.145499
0.454167, -9.672662
0.454583, -6.389208
0.455000, -12.662379
0.455417, -2.910348
0.455833, -5.015129
0.456250, -7.322915
0.456667, -4.842537
0.457083, -8.486811
0.457500, -3.754991
0.457917, -22.877855
0.458333, -9.706410
0.458750, -5.188350
0.459167, -6.798094
0.459583, -7.053923
0.460000, -5.931105
0.460417, -7.340635
0.460833, -18.764282
0.461250, -5.240157
0.461667, -8.249859
0.462083, -6.894538
0.462500, -13.830496
0.462917, -10.368307
0.463333, -3.955989
0.463750, -4.562174
0.464167, -16.376740
0.464583, -9.824116
0.465000, -12.065719
0.465417, -3.205295
0.465833, -5.590110
0.466250, -7.063381
0.466667, -7.553622
0.467083, -12.217840
0.467500, -3.649416
0.467917, -12.268069
0.468333, -7.857171
0.468750, -10.520157
0.469167, -7.529905
0.469583, -6.486439
0.470000, -8.380925
0.470417, -8.127629
0.470833, -6.844578
0.471250, -3.830163
0.471667, -8.832431
0.472083, -6.313239
0.472500, -4.526379
0.472917, -4.013252
0.473333, -3.293184
0.473750, -20.561906
0.474167, -5.522826
0.474583, -5.628260
0.475000, -9.638236
0.475417, -9.302795
0.475833, -9.833180
0.476250, -19.278599
0.476667, -1.988320
0.477083, -11.593523
0.477500, -12.511074
0.477917, -13.837656
0.478333, -4.809930
0.478750, -4.035709
0.479167, -5.321067
0.479583, -12.746254
0.480000, -7.816507
0.480417, -4.743359
0.480833, -3.481875
0.481250, -11.630280
0.481667, -8.539093
0.482083, -4.027200
0.482500, -10.290356
0.482917, -9.600474
0.483333, -16.780351
0.483750, -6.338271
0.484167, -5.319393
0.484583, -6.984574
0.485000, -9.710535
0.485417, -5.892999
0.485833, -7.675240
0.486250, -7.488840
0.486667, -5.699450
0.487083, -9.300015
0.487500, -3.735293
0.487917, -5.974574
0.488333, -6.010621
0.488750, -13.359247
0.489167, -11.318878
0.489583, -4.394614
0.490000, -8.177871
0.490417, -12.383712
0.490833, -10.622753
0.491250, -5.723822
0.491667, -3.067473
0.492083, -8.154934
0.492500, -10.509586
0.492917, -6.352002
0.493333, -6.665141
0.493750, -4.941942
0.494167, -7.661804
0.494583, -15.278833
0.495000, -6.884853
0.495417, -11.103283
0.495833, -4.484688
0.496250, -27.653328
0.496667, -3.991424
0.497083, -7.874904
0.497500, -7.677943
0.497917, -5.412855
0.498333, -9.251691
0.498750, -4.560935
0.499167, -8.584507
0.499583, -7.555364
0.500000, -2.568185
0.500417, -13.789966
0.500833, -6.119557
0.501250, -7.139227
0.501667, -4.792692
0.502083, -19.165819
0.502500, -10.590888
0.502917, -4.431155
0.503333, -10.476546
0.503750, -8.023549
0.504167, -11.216903
0.504583, -13.310271
0.505000, -6.359330
0.505417, -5.820929
0.505833, -6.380579
0.506250, -12.452539
0.506667, -6.418486
0.507083, -3.718182
0.507500, -4.253648
0.507917, -7.181204
0.508333, -7.748942
0.508750, -3.245939
0.509167, -6.812273
0.509583, -9.799175
0.510000, -6.433160
0.510417, -6.646487
0.510833, -3.231436
0.511250, -4.635760
0.511667, -22.200983
0.512083, -27.408965
0.512500, -8.575483
0.512917, -4.264893
0.513333, -4.950686
0.513750, -5.206900
0.514167, -11.106605
0.514583, -2.571591
0.515000, -4.520542
0.515417, -17.541853
0.515833, -15.727371
0.516250, -11.980287
0.516667, -3.068648
0.517083, -6.862679
0.517500, -6.409429
0.517917, -9.703128
0.518333, -10.344262
0.518750, -3.337519
0.519167, -15.029298
0.519583, -13.631372
0.520000, -8.414624
0.520417, -8.488227
0.520833, -4.620024
0.521250, -7.975469
0.521667, -6.169597
0.522083, -7.535344
0.522500, -6.336969
0.522917, -9.589976
0.523333, -8.118248
0.523750, -6.322311
0.524167, -7.047821
0.524583, -5.826455
0.525000, -6.685666
0.525417, -6.384875
0.525833, -5.064694
0.526250, -10.936354
0.526667, -11.940329
0.527083, -20.504826
0.527500, -6.943832
0.527917, -1.791036
0.528333, -6.747581
0.528750, -9.522205
0.529167, -7.121375
